"","genes","logFC","logCPM","F","PValue","FDR"
"ENSG00000171109.19","ENSG00000171109.19",0.219000857030669,3.48968051233126,9.24619170763705,0.0034000873747256,0.00586959877672465
"ENSG00000075643.6","ENSG00000075643.6",-0.349412088665948,4.09318393154823,8.67501021380419,0.00340315279111455,0.00587383437517074
"ENSG00000170832.13","ENSG00000170832.13",-0.255986787813292,3.47542151081842,8.66647535344126,0.00341880406042871,0.00589978770090161
"ENSG00000172465.14","ENSG00000172465.14",0.379728012859214,4.32984975114858,8.66480006662796,0.00342188482686482,0.00590404283571212
"ENSG00000013523.11","ENSG00000013523.11",0.361777095729732,3.28894900394371,8.66087694303005,0.00342911034382106,0.00591544641521693
"ENSG00000125378.16","ENSG00000125378.16",0.873394229661666,3.55696565848627,8.6569131970316,0.00343642649736844,0.00592700222327291
"ENSG00000283047.1","ENSG00000283047.1",1.28597548278456,2.38318278541823,8.65199470343672,0.00344552705315667,0.0059416309880194
"ENSG00000141219.15","ENSG00000141219.15",0.354384617212907,3.03582940644004,16.4627922265571,0.00345291487601375,0.00595330151036854
"ENSG00000118523.6","ENSG00000118523.6",-0.551944260841193,6.55461900058107,8.64018473975635,0.00346747931268197,0.0059773390917125
"ENSG00000093183.14","ENSG00000093183.14",0.298633371336651,3.0408750553289,21.6387304644525,0.00348331570602021,0.00600356028326642
"ENSG00000147457.14","ENSG00000147457.14",-0.221417599270546,4.08178800082553,8.62871245072832,0.00348894064094139,0.00601217557943589
"ENSG00000162616.9","ENSG00000162616.9",-0.396737898221829,3.60119912749661,8.62595573397182,0.00349411783794559,0.00602001637549851
"ENSG00000164985.15","ENSG00000164985.15",0.379821426573495,3.80101882888104,8.62332367963642,0.00349906823478661,0.00602746367377561
"ENSG00000198162.12","ENSG00000198162.12",-0.254487691870577,3.84202967258369,8.61982468257325,0.00350566027645489,0.00603773567527215
"ENSG00000145833.16","ENSG00000145833.16",0.227334779144443,3.66380276437368,11.3472683913249,0.00351420625135471,0.00605136861219824
"ENSG00000198315.11","ENSG00000198315.11",0.344704465773161,2.97810362594324,8.61418171473547,0.00351631824305708,0.00605322579212114
"ENSG00000099889.14","ENSG00000099889.14",-0.32985421775886,3.18139372249385,8.61406139193121,0.00351654585861037,0.00605322579212114
"ENSG00000255284.2","ENSG00000255284.2",0.477655801071123,3.79123101541301,8.60396298628338,0.00353570280266105,0.0060851105961897
"ENSG00000145781.9","ENSG00000145781.9",0.246917062722087,4.07318520139999,8.60332205068294,0.00353692226472883,0.00608611825441778
"ENSG00000166847.10","ENSG00000166847.10",0.286022847056451,3.02330635142764,11.571730700747,0.00354127463184558,0.00609251549564831
"ENSG00000071082.11","ENSG00000071082.11",0.335509483665275,7.98467750097767,8.59696233428663,0.00354904573651965,0.00610413564684373
"ENSG00000170348.9","ENSG00000170348.9",-0.208954057752235,7.02865160953848,8.5968289080891,0.00354930053965434,0.00610413564684373
"ENSG00000180155.20","ENSG00000180155.20",0.641407254219699,4.75601134091003,8.59537746368076,0.00355207356063073,0.00610781052875783
"ENSG00000160392.13","ENSG00000160392.13",0.285807494035281,3.03154281568773,9.55042037577939,0.0035692497882066,0.00613624605422338
"ENSG00000103245.14","ENSG00000103245.14",0.322029600497057,3.28574054010841,12.2988761676951,0.00357814078270107,0.00615042999354168
"ENSG00000181222.19","ENSG00000181222.19",-0.266594772323608,4.86305808198817,8.58041460635998,0.00358078975756661,0.00615388143083413
"ENSG00000112695.11","ENSG00000112695.11",0.32397230377787,7.28575726062682,8.57873231549805,0.00358403314186781,0.00615835299121729
"ENSG00000196208.14","ENSG00000196208.14",0.829892670685272,2.38576139502024,8.57065894778129,0.00359964004046151,0.00618406306163752
"ENSG00000110921.14","ENSG00000110921.14",-0.362032740463539,4.50316308148331,8.56126067095672,0.00361789561215302,0.00621353009484654
"ENSG00000066697.15","ENSG00000066697.15",0.310622758986575,3.38077812820882,8.56116250332849,0.00361808679481168,0.00621353009484654
"ENSG00000204228.4","ENSG00000204228.4",-0.389579081499747,6.6156286340967,8.56026300280659,0.00361983906353024,0.00621542747449298
"ENSG00000118707.11","ENSG00000118707.11",0.388057503828546,4.0123793651582,8.55942295943667,0.00362147628954563,0.00621647164780071
"ENSG00000102804.15","ENSG00000102804.15",-0.449925827411492,5.54193523315623,8.55928651712914,0.0036217422839739,0.00621647164780071
"ENSG00000125304.10","ENSG00000125304.10",-0.233490499573399,6.68153514195211,8.55214494707877,0.00363569267063751,0.00623930097213444
"ENSG00000089048.14","ENSG00000089048.14",0.277324747026649,3.95406695879523,8.55037820129447,0.00363915230168128,0.00624412191173195
"ENSG00000165457.14","ENSG00000165457.14",-0.547350754868702,5.01838721074926,8.50661526419835,0.00372593021128558,0.00639124707598066
"ENSG00000106078.19","ENSG00000106078.19",-0.350452779097708,3.23826355184776,8.50646579121579,0.00372623019627747,0.00639124707598066
"ENSG00000108784.10","ENSG00000108784.10",-0.295630852051553,6.02307126188668,8.49873446255926,0.00374178028077678,0.00641677218568365
"ENSG00000139372.15","ENSG00000139372.15",0.265548452369315,2.98494339984308,8.49404476876054,0.00375124498051722,0.00643185422628421
"ENSG00000142949.17","ENSG00000142949.17",0.327334953626742,6.40881798896545,8.48435980449068,0.00377086856316139,0.00646434610827667
"ENSG00000122406.14","ENSG00000122406.14",0.308640057654642,8.72177781894873,8.48152707894352,0.00377662800084515,0.00647306352581921
"ENSG00000173153.17","ENSG00000173153.17",0.26324604085324,5.62760087359566,8.47593464396492,0.00378802481571332,0.00649143845605995
"ENSG00000219438.9","ENSG00000219438.9",1.23407053188795,3.0034120276687,8.47375551910772,0.00379247515680596,0.00649790496258027
"ENSG00000120708.17","ENSG00000120708.17",0.437968433810625,6.31781449041627,8.47210471538173,0.00379585008353701,0.00650252690969937
"ENSG00000092841.19","ENSG00000092841.19",0.290584028462457,7.77736445076371,8.47067941225252,0.0037987664614139,0.00650636182508001
"ENSG00000125089.17","ENSG00000125089.17",-0.335667736548628,3.1676817500389,8.45601342852839,0.00382890847758928,0.00655681794235766
"ENSG00000204388.7","ENSG00000204388.7",0.677945615802279,6.12160919333832,8.44066392313279,0.00386071702773835,0.00661010941078797
"ENSG00000112799.9","ENSG00000112799.9",-0.487866804996811,3.23864085982869,8.43384586212237,0.00387493245413553,0.00663326525672273
"ENSG00000168259.17","ENSG00000168259.17",0.257332623150196,3.38303266171909,17.7843736462039,0.00389502098702134,0.00666646487348991
"ENSG00000075142.14","ENSG00000075142.14",0.41976646295685,4.05839523300603,8.4230663631541,0.00389751653568634,0.00666954701293919
"ENSG00000211454.15","ENSG00000211454.15",-0.515743268592535,3.2167822109565,8.42263352506038,0.0038984261759683,0.00666991468353158
"ENSG00000177485.7","ENSG00000177485.7",0.33638029329411,4.35655210299921,8.41610566129829,0.00391217128190106,0.00669223882862618
"ENSG00000169976.7","ENSG00000169976.7",0.334054957194743,8.20552067826404,8.40636950372423,0.00393276384410812,0.00672626632877925
"ENSG00000116833.14","ENSG00000116833.14",-0.381695461411221,4.35748801604279,8.40461664070211,0.00393648300274989,0.00673142800612734
"ENSG00000239569.3","ENSG00000239569.3",0.474011382332511,4.13556703402936,8.39674327820124,0.00395323277842,0.00675886637094069
"ENSG00000100216.6","ENSG00000100216.6",0.221706428600913,6.4132953427189,8.38223008995415,0.00398429918937692,0.00681076784508874
"ENSG00000196961.13","ENSG00000196961.13",0.215571080552933,4.9967894043476,8.3803783994771,0.00398828075524623,0.00681581786438719
"ENSG00000160087.21","ENSG00000160087.21",0.231038892424256,4.37733486900923,8.38019589020937,0.00398867341272159,0.00681581786438719
"ENSG00000188342.12","ENSG00000188342.12",0.249621175292908,3.68876839887025,10.2080705680702,0.00399225127627465,0.00682071761029305
"ENSG00000146477.6","ENSG00000146477.6",-0.512301989527436,4.92067162846059,8.37602480433917,0.00399765802272392,0.00682873968294478
"ENSG00000169410.10","ENSG00000169410.10",-0.305504601072866,3.23275854259073,15.2534106481574,0.00401011472258992,0.00684879938389312
"ENSG00000136881.12","ENSG00000136881.12",-0.530945982269954,8.36574096657911,8.36515485851413,0.00402116941484775,0.00686645791222668
"ENSG00000175727.14","ENSG00000175727.14",0.285291847285369,3.37235966168842,8.35441346498894,0.00404454156378864,0.006905139429552
"ENSG00000171202.7","ENSG00000171202.7",0.225113824916949,5.63896614548739,8.34152371649441,0.00407277164223974,0.00695209953156143
"ENSG00000105974.13","ENSG00000105974.13",0.410620850429196,4.66474018639795,8.33679386586697,0.0040831810054429,0.00696862891595588
"ENSG00000167548.16","ENSG00000167548.16",0.346335265604789,2.79278903240761,8.33088050857122,0.00409623326088968,0.00698856415127967
"ENSG00000125037.12","ENSG00000125037.12",0.250858208772286,5.75679957278871,8.33084228958931,0.00409631775825528,0.00698856415127967
"ENSG00000183963.19","ENSG00000183963.19",0.355581481564397,3.19494582454192,8.32726651342263,0.00410423123461884,0.00700082086928587
